interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,supply,stand_alone_batteries,hybrid_batteries
2025-04-01T13:00:00-07:00,2025-04-01 20:00:00+00:00,2025-04-01T13:05:00-07:00,2025-04-01 20:05:00+00:00,-4669,-4174,-520
2025-04-01T13:05:00-07:00,2025-04-01 20:05:00+00:00,2025-04-01T13:10:00-07:00,2025-04-01 20:10:00+00:00,-5310,-4864,-492
2025-04-01T13:10:00-07:00,2025-04-01 20:10:00+00:00,2025-04-01T13:15:00-07:00,2025-04-01 20:15:00+00:00,-5444,-4986,-482
2025-04-01T13:15:00-07:00,2025-04-01 20:15:00+00:00,2025-04-01T13:20:00-07:00,2025-04-01 20:20:00+00:00,-5669,-5146,-509
2025-04-01T13:20:00-07:00,2025-04-01 20:20:00+00:00,2025-04-01T13:25:00-07:00,2025-04-01 20:25:00+00:00,-5148,-4611,-485
2025-04-01T13:25:00-07:00,2025-04-01 20:25:00+00:00,2025-04-01T13:30:00-07:00,2025-04-01 20:30:00+00:00,-4888,-4421,-448
2025-04-01T13:30:00-07:00,2025-04-01 20:30:00+00:00,2025-04-01T13:35:00-07:00,2025-04-01 20:35:00+00:00,-4688,-4340,-389
2025-04-01T13:35:00-07:00,2025-04-01 20:35:00+00:00,2025-04-01T13:40:00-07:00,2025-04-01 20:40:00+00:00,-5181,-4825,-396
2025-04-01T13:40:00-07:00,2025-04-01 20:40:00+00:00,2025-04-01T13:45:00-07:00,2025-04-01 20:45:00+00:00,-5398,-5021,-375
2025-04-01T13:45:00-07:00,2025-04-01 20:45:00+00:00,2025-04-01T13:50:00-07:00,2025-04-01 20:50:00+00:00,-5575,-5196,-421
2025-04-01T13:50:00-07:00,2025-04-01 20:50:00+00:00,2025-04-01T13:55:00-07:00,2025-04-01 20:55:00+00:00,-5747,-5319,-447
2025-04-01T13:55:00-07:00,2025-04-01 20:55:00+00:00,2025-04-01T14:00:00-07:00,2025-04-01 21:00:00+00:00,-5836,-5334,-469
2025-04-01T14:00:00-07:00,2025-04-01 21:00:00+00:00,2025-04-01T14:05:00-07:00,2025-04-01 21:05:00+00:00,-5637,-5224,-432
2025-04-01T14:05:00-07:00,2025-04-01 21:05:00+00:00,2025-04-01T14:10:00-07:00,2025-04-01 21:10:00+00:00,-6015,-5584,-455
2025-04-01T14:10:00-07:00,2025-04-01 21:10:00+00:00,2025-04-01T14:15:00-07:00,2025-04-01 21:15:00+00:00,-5985,-5583,-402
2025-04-01T14:15:00-07:00,2025-04-01 21:15:00+00:00,2025-04-01T14:20:00-07:00,2025-04-01 21:20:00+00:00,-6045,-5618,-400
2025-04-01T14:20:00-07:00,2025-04-01 21:20:00+00:00,2025-04-01T14:25:00-07:00,2025-04-01 21:25:00+00:00,-5817,-5437,-345
2025-04-01T14:25:00-07:00,2025-04-01 21:25:00+00:00,2025-04-01T14:30:00-07:00,2025-04-01 21:30:00+00:00,-5207,-4859,-297
2025-04-01T14:30:00-07:00,2025-04-01 21:30:00+00:00,2025-04-01T14:35:00-07:00,2025-04-01 21:35:00+00:00,-5158,-4885,-294
2025-04-01T14:35:00-07:00,2025-04-01 21:35:00+00:00,2025-04-01T14:40:00-07:00,2025-04-01 21:40:00+00:00,-5313,-5010,-308
2025-04-01T14:40:00-07:00,2025-04-01 21:40:00+00:00,2025-04-01T14:45:00-07:00,2025-04-01 21:45:00+00:00,-5208,-4896,-292
2025-04-01T14:45:00-07:00,2025-04-01 21:45:00+00:00,2025-04-01T14:50:00-07:00,2025-04-01 21:50:00+00:00,-5235,-4920,-336
